,title,vote_count,vote_average,year,imdb_id,soup
0,Toy Story,5415.0,7.7,1995,tt0114709,jealousi toy boy friendship friend rivalri boynextdoor newtoy toycomestolif tomhanks timallen donrickles johnlasseter johnlasseter johnlasseter Animation Comedy Family
1,Jumanji,2413.0,6.9,1995,tt0113497,boardgam disappear basedonchildren'sbook newhom reclus giantinsect robinwilliams jonathanhyde kirstendunst joejohnston joejohnston joejohnston Adventure Fantasy Family
2,Grumpier Old Men,92.0,6.5,1995,tt0113228,fish bestfriend duringcreditssting waltermatthau jacklemmon ann-margret howarddeutch howarddeutch howarddeutch Romance Comedy
3,Waiting to Exhale,34.0,6.1,1995,tt0114885,basedonnovel interracialrelationship singlemoth divorc chickflick whitneyhouston angelabassett lorettadevine forestwhitaker forestwhitaker forestwhitaker Comedy Drama Romance
4,Father of the Bride Part II,173.0,5.7,1995,tt0113041,babi midlifecrisi confid age daughter motherdaughterrelationship pregnanc contracept gynecologist stevemartin dianekeaton martinshort charlesshyer charlesshyer charlesshyer Comedy
5,Heat,1886.0,7.7,1995,tt0113277,robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang catandmous criminalmastermind cultfilm ex-con heistmovi onelastjob loner neo-noir gunfight crimeep alpacino robertdeniro valkilmer michaelmann michaelmann michaelmann Action Crime Drama Thriller
6,Sabrina,141.0,6.2,1995,tt0114319,pari brotherbrotherrelationship chauffeur longisland millionair harrisonford juliaormond gregkinnear sydneypollack sydneypollack sydneypollack Comedy Romance
7,Tom and Huck,45.0,5.4,1995,tt0112302,jonathantaylorthomas bradrenfro rachaelleighcook peterhewitt peterhewitt peterhewitt Action Adventure Drama Family
8,Sudden Death,174.0,5.5,1995,tt0114576,terrorist hostag explos vicepresid jean-claudevandamme powersboothe dorianharewood peterhyams peterhyams peterhyams Action Adventure Thriller
9,GoldenEye,1194.0,6.6,1995,tt0113189,cuba falselyaccus secretident computervirus secretbas secretintelligenceservic kgb satellit specialcar cossack timebomb st.petersburgrussia ejectionseat redarmi piercebrosnan seanbean izabellascorupco martincampbell martincampbell martincampbell Adventure Action Thriller
10,The American President,199.0,6.5,1995,tt0112346,whitehous usapresid newlov widow michaeldouglas annettebening michaelj.fox robreiner robreiner robreiner Comedy Drama Romance
11,Dracula: Dead and Loving It,210.0,5.7,1995,tt0112896,dracula spoof leslienielsen melbrooks amyyasbeck melbrooks melbrooks melbrooks Comedy Horror
12,Balto,423.0,7.1,1995,tt0112453,wolf alaska dog goos bearattack kevinbacon bobhoskins bridgetfonda simonwells simonwells simonwells Family Animation Adventure
13,Nixon,72.0,7.1,1995,tt0113987,usapresid presidentialelect watergatescand biographi govern historicalfigur anthonyhopkins joanallen powersboothe oliverstone oliverstone oliverstone History Drama
14,Cutthroat Island,137.0,5.7,1995,tt0112760,exoticisland treasur map ship scalp pirat geenadavis matthewmodine franklangella rennyharlin rennyharlin rennyharlin Action Adventure
15,Casino,1343.0,7.8,1995,tt0112641,poker drugabus 1970s overdos illegalprostitut robertdeniro sharonstone joepesci martinscorsese martinscorsese martinscorsese Drama Crime
16,Sense and Sensibility,364.0,7.2,1995,tt0114388,bowl basedonnovel servant countrylif janeausten inherit militaryoffic perioddrama rainstorm horseandcarriag katewinslet emmathompson hughgrant anglee anglee anglee Drama Romance
17,Four Rooms,539.0,6.5,1995,tt0113101,hotel newyear'sev witch bet hotelroom sperm losangel hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals allisonanders allisonanders allisonanders Crime Comedy
18,Ace Ventura: When Nature Calls,1128.0,6.1,1995,tt0112281,africa indigen humananimalrelationship bat jimcarrey ianmcneice simoncallow steveoedekerk steveoedekerk steveoedekerk Crime Comedy Adventure
19,Money Train,224.0,5.4,1995,tt0113845,brotherbrotherrelationship subway newyorkc newyorksubway trainrobberi wesleysnipes woodyharrelson jenniferlopez josephruben josephruben josephruben Action Comedy Crime
20,Get Shorty,305.0,6.4,1995,tt0113161,gambl miami basedonnovel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con johntravolta genehackman renerusso barrysonnenfeld barrysonnenfeld barrysonnenfeld Comedy Thriller Crime
